aantal_rijen, tijdsduur(ms), gemiddelde_tijdsduur(ms) 
1000000, 7258.791, 1451.7582
1020000, 6055.209, 1211.0418
1040000, 7615.3369999999995, 1523.0674
1060000, 8760.077, 1752.0153999999998
1080000, 4582.007, 916.4014
1100000, 4936.0599999999995, 987.2119999999999
1120000, 4812.8369999999995, 962.5673999999999
1140000, 4959.858, 991.9716000000001
1160000, 5151.393, 1030.2786
1180000, 5157.374, 1031.4748
1200000, 9383.678, 1876.7356
1220000, 8073.049, 1614.6098
1240000, 5830.083, 1166.0166
1260000, 10600.002, 2120.0004
1280000, 5952.2, 1190.44
1300000, 6174.745, 1234.949
1320000, 6060.251, 1212.0502000000001
1340000, 6063.557, 1212.7114
1360000, 6543.999, 1308.7998
1380000, 6392.991, 1278.5982
1400000, 9640.742, 1928.1484
1420000, 6700.992, 1340.1984
1440000, 7392.939, 1478.5878
1460000, 7200.995, 1440.199
1480000, 13809.842, 2761.9684
1500000, 7578.991, 1515.7982
1520000, 7699.492, 1539.8984
1540000, 15472.498, 3094.4996
1560000, 8265.197, 1653.0394000000001
1580000, 8200.487, 1640.0973999999999
1600000, 9876.067, 1975.2133999999999
1620000, 8246.984, 1649.3968
1640000, 8463.986, 1692.7972000000002
1660000, 8670.131, 1734.0261999999998
1680000, 11409.64, 2281.928
1700000, 9064.03, 1812.806
1720000, 9474.984, 1894.9968000000001
1740000, 9489.005, 1897.801
1760000, 9773.88, 1954.7759999999998
1780000, 9740.492, 1948.0984
1800000, 9961.985, 1992.3970000000002
1820000, 11096.865, 2219.373
1840000, 10753.984, 2150.7968
1860000, 10431.032, 2086.2064
1880000, 10328.496, 2065.6992
1900000, 10530.982, 2106.1964
1920000, 11170.98, 2234.196
1940000, 11928.021, 2385.6042
1960000, 11157.215, 2231.443
1980000, 20958.988, 4191.7976
2000000, 15694.979, 3138.9957999999997
2020000, 21073.551, 4214.7101999999995
2040000, 11574.493, 2314.8986
2060000, 11911.496, 2382.2992
2080000, 12989.847, 2597.9694
2100000, 20037.209, 4007.4417999999996
2120000, 22267.483, 4453.4966
2140000, 22608.493, 4521.6986
2160000, 18393.506, 3678.7012000000004
2180000, 23360.811, 4672.162200000001
2200000, 22374.053, 4474.8106
2220000, 24583.186, 4916.6372
2240000, 12857.888, 2571.5776
2260000, 13324.613, 2664.9226
2280000, 13347.573, 2669.5146
2300000, 14401.319, 2880.2637999999997
2320000, 13585.048999999999, 2717.0098
2340000, 13621.654, 2724.3308
2360000, 24923.089, 4984.6178
2380000, 26042.195, 5208.439
2400000, 26694.037, 5338.8074
2420000, 18952.542, 3790.5084
2440000, 18189.683, 3637.9366
2460000, 14318.658, 2863.7316
2480000, 16514.198, 3302.8396000000002
2500000, 16059.679, 3211.9358
