aantal_rijen, tijdsduur(ms), gemiddelde_tijdsduur(ms) 
aantal_rijen, tijdsduur(ms), gemiddelde_tijdsduur(ms) 
20000, 448.004, 89.6008
40000, 544.006, 108.8012
60000, 747.005, 149.401
80000, 939.007, 187.8014
100000, 99.015, 19.803
120000, 405.003, 81.00059999999999
140000, 188.247, 37.6494
160000, 625.009, 125.0018
180000, 408.01, 81.602
200000, 706.029, 141.2058
220000, 792.004, 158.4008
240000, 484.919, 96.9838
260000, 197.248, 39.4496
280000, 406.821, 81.36420000000001
300000, 896.185, 179.237
320000, 536.998, 107.3996
340000, 745.0, 149.0
360000, 832.007, 166.4014
380000, 991.007, 198.20139999999998
400000, 746.988, 149.3976
420000, 333.003, 66.6006
440000, 338.999, 67.7998
460000, 668.009, 133.6018
480000, 837.587, 167.5174
500000, 363.44, 72.688
